id,dep,jour,jour_fr,indic_hosp,indic_rea,indic_rad,indic_dc
662020-03-200,66,2020-03-20,20 mars 2020,7,6,0,1
672020-03-200,67,2020-03-20,20 mars 2020,44,6,10,6
682020-03-200,68,2020-03-20,20 mars 2020,92,19,30,13
692020-03-200,69,2020-03-20,20 mars 2020,32,9,11,2
702020-03-200,70,2020-03-20,20 mars 2020,8,1,2,0
712020-03-200,71,2020-03-20,20 mars 2020,10,2,3,1
722020-03-200,72,2020-03-20,20 mars 2020,0,0,0,0
732020-03-200,73,2020-03-20,20 mars 2020,5,0,1,0
742020-03-200,74,2020-03-20,20 mars 2020,23,0,4,0
752020-03-200,75,2020-03-20,20 mars 2020,120,21,28,5
762020-03-200,76,2020-03-20,20 mars 2020,14,1,1,1
772020-03-200,77,2020-03-20,20 mars 2020,29,10,2,1
782020-03-200,78,2020-03-20,20 mars 2020,32,6,9,5
792020-03-200,79,2020-03-20,20 mars 2020,8,0,5,0
802020-03-200,80,2020-03-20,20 mars 2020,26,8,4,1
812020-03-200,81,2020-03-20,20 mars 2020,3,0,2,0
822020-03-200,82,2020-03-20,20 mars 2020,0,0,0,0
832020-03-200,83,2020-03-20,20 mars 2020,8,3,2,0
842020-03-200,84,2020-03-20,20 mars 2020,2,0,1,0
852020-03-200,85,2020-03-20,20 mars 2020,1,0,0,0
862020-03-200,86,2020-03-20,20 mars 2020,0,0,0,0
872020-03-200,87,2020-03-20,20 mars 2020,1,1,0,0
882020-03-200,88,2020-03-20,20 mars 2020,6,1,0,1
892020-03-200,89,2020-03-20,20 mars 2020,2,0,0,0
902020-03-200,90,2020-03-20,20 mars 2020,1,1,0,0
912020-03-200,91,2020-03-20,20 mars 2020,40,6,3,1
922020-03-200,92,2020-03-20,20 mars 2020,66,14,15,4
932020-03-200,93,2020-03-20,20 mars 2020,44,6,11,5
942020-03-200,94,2020-03-20,20 mars 2020,67,14,17,1
952020-03-200,95,2020-03-20,20 mars 2020,60,12,21,4
9712020-03-200,971,2020-03-20,20 mars 2020,0,0,0,0
9722020-03-200,972,2020-03-20,20 mars 2020,2,0,0,0
9732020-03-200,973,2020-03-20,20 mars 2020,0,0,0,0
9742020-03-200,974,2020-03-20,20 mars 2020,0,0,0,0
9762020-03-200,976,2020-03-20,20 mars 2020,0,0,0,0
012020-03-210,1,2020-03-21,21 mars 2020,3,0,0,0
022020-03-210,2,2020-03-21,21 mars 2020,30,4,9,1
032020-03-210,3,2020-03-21,21 mars 2020,4,0,1,0
042020-03-210,4,2020-03-21,21 mars 2020,1,0,0,0
052020-03-210,5,2020-03-21,21 mars 2020,3,0,1,0
062020-03-210,6,2020-03-21,21 mars 2020,5,0,1,2
072020-03-210,7,2020-03-21,21 mars 2020,6,0,1,0
082020-03-210,8,2020-03-21,21 mars 2020,2,0,0,0
092020-03-210,9,2020-03-21,21 mars 2020,1,0,1,0
102020-03-210,10,2020-03-21,21 mars 2020,6,2,0,0
112020-03-210,11,2020-03-21,21 mars 2020,2,0,0,3
122020-03-210,12,2020-03-21,21 mars 2020,1,0,1,0
132020-03-210,13,2020-03-21,21 mars 2020,63,12,21,0
142020-03-210,14,2020-03-21,21 mars 2020,6,3,1,0
152020-03-210,15,2020-03-21,21 mars 2020,1,0,0,0
162020-03-210,16,2020-03-21,21 mars 2020,2,1,0,0
172020-03-210,17,2020-03-21,21 mars 2020,4,2,2,0
182020-03-210,18,2020-03-21,21 mars 2020,0,0,0,0
192020-03-210,19,2020-03-21,21 mars 2020,3,0,0,0
212020-03-210,21,2020-03-21,21 mars 2020,2,0,10,1
222020-03-210,22,2020-03-21,21 mars 2020,2,1,0,0
232020-03-210,23,2020-03-21,21 mars 2020,1,0,0,0
242020-03-210,24,2020-03-21,21 mars 2020,1,0,0,0
252020-03-210,25,2020-03-21,21 mars 2020,13,6,7,2
262020-03-210,26,2020-03-21,21 mars 2020,11,3,1,2
272020-03-210,27,2020-03-21,21 mars 2020,3,2,0,0
282020-03-210,28,2020-03-21,21 mars 2020,4,0,2,0
292020-03-210,29,2020-03-21,21 mars 2020,0,1,0,0
2A2020-03-210,2A,2020-03-21,21 mars 2020,4,0,3,1
2B2020-03-210,2B,2020-03-21,21 mars 2020,0,0,0,0
302020-03-210,30,2020-03-21,21 mars 2020,4,0,4,0
312020-03-210,31,2020-03-21,21 mars 2020,19,4,6,0
322020-03-210,32,2020-03-21,21 mars 2020,1,0,0,0
332020-03-210,33,2020-03-21,21 mars 2020,34,12,1,0
342020-03-210,34,2020-03-21,21 mars 2020,19,4,9,0
352020-03-210,35,2020-03-21,21 mars 2020,8,3,1,0
362020-03-210,36,2020-03-21,21 mars 2020,1,1,0,0
372020-03-210,37,2020-03-21,21 mars 2020,1,0,1,0
382020-03-210,38,2020-03-21,21 mars 2020,13,1,4,0
392020-03-210,39,2020-03-21,21 mars 2020,1,0,0,0
402020-03-210,40,2020-03-21,21 mars 2020,0,0,0,0
412020-03-210,41,2020-03-21,21 mars 2020,0,0,0,0
422020-03-210,42,2020-03-21,21 mars 2020,22,2,5,2
432020-03-210,43,2020-03-21,21 mars 2020,2,0,0,0
442020-03-210,44,2020-03-21,21 mars 2020,16,3,2,0
452020-03-210,45,2020-03-21,21 mars 2020,6,2,1,1
462020-03-210,46,2020-03-21,21 mars 2020,4,0,3,0
472020-03-210,47,2020-03-21,21 mars 2020,3,0,0,0
482020-03-210,48,2020-03-21,21 mars 2020,0,0,0,0
492020-03-210,49,2020-03-21,21 mars 2020,8,4,2,2
502020-03-210,50,2020-03-21,21 mars 2020,6,0,1,0
512020-03-210,51,2020-03-21,21 mars 2020,26,6,1,0
522020-03-210,52,2020-03-21,21 mars 2020,2,2,0,0
532020-03-210,53,2020-03-21,21 mars 2020,1,0,0,0
542020-03-210,54,2020-03-21,21 mars 2020,19,7,0,10
552020-03-210,55,2020-03-21,21 mars 2020,17,1,1,1
562020-03-210,56,2020-03-21,21 mars 2020,24,4,1,3
572020-03-210,57,2020-03-21,21 mars 2020,68,11,15,3
582020-03-210,58,2020-03-21,21 mars 2020,0,0,0,0
592020-03-210,59,2020-03-21,21 mars 2020,30,15,7,1
602020-03-210,60,2020-03-21,21 mars 2020,30,1,14,0
